# B	D_L^phi phi	std
3.9615e+00	9.9572e-08	1.4956e-07
8.9241e+00	1.0069e-07	5.3167e-08
1.5965e+01	1.2581e-07	3.2241e-08
2.5086e+01	1.4070e-07	2.3061e-08
3.6285e+01	1.3855e-07	1.7434e-08
4.9563e+01	1.3461e-07	1.3812e-08
6.4920e+01	1.2419e-07	1.0575e-08
8.2355e+01	1.1541e-07	8.6343e-09
1.0187e+02	1.0221e-07	6.3852e-09
1.2346e+02	9.0013e-08	5.9699e-09
1.4714e+02	7.7490e-08	4.5654e-09
1.7289e+02	6.6264e-08	3.8614e-09
2.0072e+02	5.8048e-08	3.1076e-09
2.3063e+02	4.9731e-08	2.9400e-09
2.6261e+02	4.3896e-08	2.9837e-09
2.9668e+02	3.8205e-08	2.8376e-09
3.3283e+02	3.2826e-08	3.2797e-09
3.7105e+02	2.8953e-08	3.9850e-09
4.1135e+02	2.6911e-08	5.1970e-09
4.5374e+02	2.2726e-08	6.6706e-09
4.9820e+02	1.9950e-08	7.9492e-09
5.4474e+02	1.8990e-08	8.5275e-09
5.9336e+02	1.5125e-08	1.0078e-08
6.4405e+02	1.1426e-08	1.0190e-08
6.9683e+02	6.4306e-09	1.2911e-08
7.5168e+02	1.4739e-08	1.5735e-08
8.0862e+02	1.2553e-08	2.6179e-08
8.6763e+02	1.6292e-09	4.4704e-08
9.2872e+02	-2.4724e-08	8.5570e-08
9.9189e+02	2.7776e-09	2.2974e-07
