# pp n0_nofg n0_fg
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.785812921614255849e-09 7.344065048289068066e-08 8.603577903728230999e-08
2.668233180510150923e-09 1.395159092048744075e-08 2.091215126246591126e-08
1.106417096315540783e-09 4.435131832970275558e-09 5.710599946328772773e-09
5.479935916192740367e-10 1.509885198891079566e-09 1.992317014446396597e-09
3.046105334023540006e-10 7.668861531909475842e-10 8.844312877515014861e-10
1.837238646593994275e-10 4.107671321071229322e-10 4.746805034730746692e-10
1.177677881262012790e-10 2.441718812867384261e-10 2.950194671077419440e-10
7.914563951565930378e-11 1.436774709281999302e-10 1.788434816862954297e-10
5.523075666464753507e-11 9.105443893837474239e-11 1.136346525913871921e-10
3.975816763417000619e-11 6.659107452605771066e-11 8.183124724071897328e-11
2.935819367518864346e-11 4.527418841136569109e-11 5.365608350006137587e-11
2.216186668817231494e-11 3.246968376218708984e-11 3.935428974367207617e-11
1.704224967161647003e-11 2.387550393351498515e-11 2.964717176547578002e-11
1.332209818047271671e-11 1.816233179597524655e-11 2.210175422424927586e-11
1.056279000548454034e-11 1.417097809859490648e-11 1.765737088668093935e-11
8.480783654077482851e-12 1.136100919618759021e-11 1.406971568112938196e-11
6.886395592517976174e-12 9.073378048172233711e-12 1.116172476897681950e-11
5.648209384827289242e-12 7.351158666566328193e-12 9.052820953760570198e-12
4.674490402341384035e-12 5.872799585091475372e-12 7.282518047237737819e-12
3.900453216706031906e-12 4.908166951087857145e-12 5.914699218403589829e-12
3.279189788435502260e-12 4.068583530260463216e-12 4.973223006837814421e-12
2.775885963087436661e-12 3.428654158663602473e-12 4.394192532785080334e-12
2.364624430479477633e-12 2.834007461559925498e-12 3.484703199985304735e-12
2.025951757591437214e-12 2.393125351778600344e-12 2.974832328343036195e-12
1.745061504793716724e-12 2.073883645497911321e-12 2.544001757528042179e-12
1.510617866695268476e-12 1.779683257072329618e-12 2.183150397473508359e-12
1.313758487229275239e-12 1.544256662147135996e-12 1.829854862335440640e-12
1.147492761767800936e-12 1.312921116866674397e-12 1.703580004134691672e-12
1.006290375263277857e-12 1.161194414436705620e-12 1.446398548225836877e-12
8.858012763610349736e-13 9.977816378923188314e-13 1.259133722102630507e-12
7.825189561151359207e-13 8.876565906528262942e-13 1.136206901379905172e-12
6.936047951625725896e-13 7.991453977742669503e-13 9.971528800633143888e-13
6.167336166320566565e-13 7.161258595223399631e-13 8.685345870124960356e-13
5.500122164776869597e-13 6.155137614957555012e-13 7.684464583314221922e-13
4.918822574973712084e-13 5.539501872138635491e-13 6.905861958205922214e-13
4.410672534683257332e-13 4.885086030915059575e-13 6.184859576710788352e-13
3.965089166924848844e-13 4.489084965068833151e-13 5.372971450820932031e-13
3.573122729297385019e-13 3.972002158583378231e-13 4.961037693689601390e-13
3.227280948156772095e-13 3.656346908564159535e-13 4.532895957399768823e-13
2.921284803563260821e-13 3.336921519882257334e-13 4.103518327920354700e-13
