# L	D_L^phi phi
0.0000e+00	0.0000e+00
1.0000e+00	0.0000e+00
2.0000e+00	5.0339e-08
3.0000e+00	6.1151e-08
4.0000e+00	7.0437e-08
5.0000e+00	7.8494e-08
6.0000e+00	8.5519e-08
7.0000e+00	9.1698e-08
8.0000e+00	9.7165e-08
9.0000e+00	1.0203e-07
1.0000e+01	1.0636e-07
1.1000e+01	1.1025e-07
1.2000e+01	1.1371e-07
1.3000e+01	1.1683e-07
1.4000e+01	1.1962e-07
1.5000e+01	1.2213e-07
1.6000e+01	1.2438e-07
1.7000e+01	1.2639e-07
1.8000e+01	1.2819e-07
1.9000e+01	1.2981e-07
2.0000e+01	1.3124e-07
2.1000e+01	1.3250e-07
2.2000e+01	1.3363e-07
2.3000e+01	1.3462e-07
2.4000e+01	1.3548e-07
2.5000e+01	1.3623e-07
2.6000e+01	1.3687e-07
2.7000e+01	1.3741e-07
2.8000e+01	1.3786e-07
2.9000e+01	1.3823e-07
3.0000e+01	1.3852e-07
3.1000e+01	1.3873e-07
3.2000e+01	1.3888e-07
3.3000e+01	1.3897e-07
3.4000e+01	1.3900e-07
3.5000e+01	1.3897e-07
3.6000e+01	1.3890e-07
3.7000e+01	1.3877e-07
3.8000e+01	1.3860e-07
3.9000e+01	1.3839e-07
4.0000e+01	1.3815e-07
4.1000e+01	1.3787e-07
4.2000e+01	1.3755e-07
4.3000e+01	1.3721e-07
4.4000e+01	1.3683e-07
4.5000e+01	1.3643e-07
4.6000e+01	1.3601e-07
4.7000e+01	1.3556e-07
4.8000e+01	1.3509e-07
4.9000e+01	1.3460e-07
5.0000e+01	1.3409e-07
5.1000e+01	1.3357e-07
5.2000e+01	1.3303e-07
5.3000e+01	1.3247e-07
5.4000e+01	1.3190e-07
5.5000e+01	1.3132e-07
5.6000e+01	1.3072e-07
5.7000e+01	1.3012e-07
5.8000e+01	1.2951e-07
5.9000e+01	1.2889e-07
6.0000e+01	1.2826e-07
6.1000e+01	1.2762e-07
6.2000e+01	1.2697e-07
6.3000e+01	1.2632e-07
6.4000e+01	1.2567e-07
6.5000e+01	1.2501e-07
6.6000e+01	1.2434e-07
6.7000e+01	1.2367e-07
6.8000e+01	1.2300e-07
6.9000e+01	1.2232e-07
7.0000e+01	1.2164e-07
7.1000e+01	1.2096e-07
7.2000e+01	1.2028e-07
7.3000e+01	1.1960e-07
7.4000e+01	1.1892e-07
7.5000e+01	1.1824e-07
7.6000e+01	1.1755e-07
7.7000e+01	1.1687e-07
7.8000e+01	1.1618e-07
7.9000e+01	1.1550e-07
8.0000e+01	1.1482e-07
8.1000e+01	1.1414e-07
8.2000e+01	1.1346e-07
8.3000e+01	1.1278e-07
8.4000e+01	1.1210e-07
8.5000e+01	1.1143e-07
8.6000e+01	1.1075e-07
8.7000e+01	1.1008e-07
8.8000e+01	1.0941e-07
8.9000e+01	1.0875e-07
9.0000e+01	1.0808e-07
9.1000e+01	1.0742e-07
9.2000e+01	1.0677e-07
9.3000e+01	1.0611e-07
9.4000e+01	1.0546e-07
9.5000e+01	1.0481e-07
9.6000e+01	1.0417e-07
9.7000e+01	1.0353e-07
9.8000e+01	1.0289e-07
9.9000e+01	1.0225e-07
1.0000e+02	1.0162e-07
1.0100e+02	1.0100e-07
1.0200e+02	1.0037e-07
1.0300e+02	9.9751e-08
1.0400e+02	9.9135e-08
1.0500e+02	9.8522e-08
1.0600e+02	9.7913e-08
1.0700e+02	9.7307e-08
1.0800e+02	9.6706e-08
1.0900e+02	9.6109e-08
1.1000e+02	9.5516e-08
1.1100e+02	9.4926e-08
1.1200e+02	9.4341e-08
1.1300e+02	9.3760e-08
1.1400e+02	9.3183e-08
1.1500e+02	9.2610e-08
1.1600e+02	9.2042e-08
1.1700e+02	9.1477e-08
1.1800e+02	9.0917e-08
1.1900e+02	9.0360e-08
1.2000e+02	8.9808e-08
1.2100e+02	8.9259e-08
1.2200e+02	8.8715e-08
1.2300e+02	8.8175e-08
1.2400e+02	8.7639e-08
1.2500e+02	8.7107e-08
1.2600e+02	8.6579e-08
1.2700e+02	8.6055e-08
1.2800e+02	8.5535e-08
1.2900e+02	8.5019e-08
