 #L        TxT           TxE           TxP           TxW1          ExT           ExE           ExP           ExW1          PxT           PxE           PxP           PxW1          W1xT          W1xE          W1xP         W1xW1       
2     1.016690e+03  2.625011e+00  2.988642e-03  1.339234e-02  2.625011e+00  3.091325e-02 -1.223521e-05  2.002334e-07  2.988642e-03 -1.223521e-05  5.024217e-08  1.408406e-07  1.339234e-02  2.002334e-07  1.408406e-07  6.310266e-07
3     9.631666e+02  2.939605e+00  2.985995e-03  1.826652e-02  2.939605e+00  3.968613e-02 -1.312462e-05  7.944129e-07  2.985995e-03 -1.312462e-05  6.100401e-08  2.561053e-07  1.826652e-02  7.944129e-07  2.561053e-07  1.592137e-06
4     9.118031e+02  2.758197e+00  2.911896e-03  2.251575e-02  2.758197e+00  3.449017e-02 -1.111035e-05  2.525662e-06  2.911896e-03 -1.111035e-05  7.026588e-08  3.946693e-07  2.251575e-02  2.525662e-06  3.946693e-07  3.158114e-06
5     8.734755e+02  2.350195e+00  2.809731e-03  2.626432e-02  2.350195e+00  2.308539e-02 -7.572335e-06  4.222084e-06  2.809731e-03 -7.572335e-06  7.830605e-08  5.518329e-07  2.626432e-02  4.222084e-06  5.518329e-07  5.420151e-06
6     8.473708e+02  1.894095e+00  2.701451e-03  2.959241e-02  1.894095e+00  1.293885e-02 -3.680949e-06  5.546654e-06  2.701451e-03 -3.680949e-06  8.531610e-08  7.235916e-07  2.959241e-02  5.546654e-06  7.235916e-07  8.444998e-06
7     8.308899e+02  1.488857e+00  2.596276e-03  3.253129e-02  1.488857e+00  6.983397e-03 -3.302075e-07  6.782574e-06  2.596276e-03 -3.302075e-07  9.148271e-08  9.066178e-07  3.253129e-02  6.782574e-06  9.066178e-07  1.227618e-05
8     8.210671e+02  1.177906e+00  2.494012e-03  3.513698e-02  1.177906e+00  4.479558e-03  1.910335e-06  7.793809e-06  2.494012e-03  1.910335e-06  9.693959e-08  1.098442e-06  3.513698e-02  7.793809e-06  1.098442e-06  1.694666e-05
9     8.165184e+02  9.667215e-01  2.393670e-03  3.746485e-02  9.667215e-01  3.575863e-03  2.835826e-06  7.779936e-06  2.393670e-03  2.835826e-06  1.017976e-07  1.297051e-06  3.746485e-02  7.779936e-06  1.297051e-06  2.247818e-05
10    8.158407e+02  8.473429e-01  2.297152e-03  3.952007e-02  8.473429e-01  3.041203e-03  2.623637e-06  6.856242e-06  2.297152e-03  2.623637e-06  1.061241e-07  1.500138e-06  3.952007e-02  6.856242e-06  1.500138e-06  2.886470e-05
11    8.176796e+02  8.024005e-01  2.208569e-03  4.132642e-02  8.024005e-01  2.555795e-03  1.716814e-06  6.746961e-06  2.208569e-03  1.716814e-06  1.100129e-07  1.706706e-06  4.132642e-02  6.746961e-06  1.706706e-06  3.611634e-05
12    8.227558e+02  8.129253e-01  2.127231e-03  4.289551e-02  8.129253e-01  2.230845e-03  5.838193e-07  8.349232e-06  2.127231e-03  5.838193e-07  1.134685e-07  1.914510e-06  4.289551e-02  8.349232e-06  1.914510e-06  4.419982e-05
13    8.291579e+02  8.552913e-01  2.055550e-03  4.429852e-02  8.552913e-01  2.140091e-03 -4.453362e-07  9.719140e-06  2.055550e-03 -4.453362e-07  1.165927e-07  2.123391e-06  4.429852e-02  9.719140e-06  2.123391e-06  5.311887e-05
14    8.367252e+02  9.084384e-01  1.986300e-03  4.553849e-02  9.084384e-01  2.223171e-03 -1.178386e-06  8.476002e-06  1.986300e-03 -1.178386e-06  1.193740e-07  2.331431e-06  4.553849e-02  8.476002e-06  2.331431e-06  6.282574e-05
15    8.444155e+02  9.648524e-01  1.919971e-03  4.662337e-02  9.648524e-01  2.398763e-03 -1.489706e-06  5.574274e-06  1.919971e-03 -1.489706e-06  1.218861e-07  2.538623e-06  4.662337e-02  5.574274e-06  2.538623e-06  7.331495e-05
16    8.540027e+02  1.026046e+00  1.853885e-03  4.753572e-02  1.026046e+00  2.646913e-03 -1.316740e-06  4.971868e-06  1.853885e-03 -1.316740e-06  1.241336e-07  2.743745e-06  4.753572e-02  4.971868e-06  2.743745e-06  8.453961e-05
17    8.653353e+02  1.089486e+00  1.789675e-03  4.830130e-02  1.089486e+00  3.010223e-03 -8.275391e-07  6.700147e-06  1.789675e-03 -8.275391e-07  1.261435e-07  2.946291e-06  4.830130e-02  6.700147e-06  2.946291e-06  9.646864e-05
18    8.772706e+02  1.153920e+00  1.729885e-03  4.895438e-02  1.153920e+00  3.532355e-03 -2.528310e-07  9.326394e-06  1.729885e-03 -2.528310e-07  1.279504e-07  3.145987e-06  4.895438e-02  9.326394e-06  3.145987e-06  1.090744e-04
19    8.905673e+02  1.222531e+00  1.674345e-03  4.950760e-02  1.222531e+00  4.216906e-03  1.580155e-07  1.038092e-05  1.674345e-03  1.580155e-07  1.295644e-07  3.342167e-06  4.950760e-02  1.038092e-05  3.342167e-06  1.223095e-04
20    9.036139e+02  1.290289e+00  1.622255e-03  4.996675e-02  1.290289e+00  5.041363e-03  2.229622e-07  8.192388e-06  1.622255e-03  2.229622e-07  1.309931e-07  3.534199e-06  4.996675e-02  8.192388e-06  3.534199e-06  1.361259e-04
21    9.171071e+02  1.361785e+00  1.573002e-03  5.033174e-02  1.361785e+00  5.999264e-03  4.793364e-08  5.319963e-06  1.573002e-03  4.793364e-08  1.322579e-07  3.721996e-06  5.033174e-02  5.319963e-06  3.721996e-06  1.504918e-04
22    9.310753e+02  1.437378e+00  1.526100e-03  5.060328e-02  1.437378e+00  7.101543e-03 -2.062744e-07  4.579071e-06  1.526100e-03 -2.062744e-07  1.333807e-07  3.905540e-06  5.060328e-02  4.579071e-06  3.905540e-06  1.653771e-04
23    9.451326e+02  1.514381e+00  1.481388e-03  5.079104e-02  1.514381e+00  8.340375e-03 -4.473435e-07  5.579803e-06  1.481388e-03 -4.473435e-07  1.343703e-07  4.084546e-06  5.079104e-02  5.579803e-06  4.084546e-06  1.807399e-04
24    9.595990e+02  1.589376e+00  1.438784e-03  5.090711e-02  1.589376e+00  9.712852e-03 -6.187083e-07  7.147005e-06  1.438784e-03 -6.187083e-07  1.352333e-07  4.258723e-06  5.090711e-02  7.147005e-06  4.258723e-06  1.965375e-04
25    9.746083e+02  1.654593e+00  1.398206e-03  5.096425e-02  1.654593e+00  1.122359e-02 -7.383388e-07  8.169891e-06  1.398206e-03 -7.383388e-07  1.359810e-07  4.428035e-06  5.096425e-02  8.169891e-06  4.428035e-06  2.127351e-04
26    9.896699e+02  1.713699e+00  1.359523e-03  5.097237e-02  1.713699e+00  1.288490e-02 -8.252384e-07  7.913820e-06  1.359523e-03 -8.252384e-07  1.366249e-07  4.592493e-06  5.097237e-02  7.913820e-06  4.592493e-06  2.292997e-04
27    1.005192e+03  1.767494e+00  1.322391e-03  5.092919e-02  1.767494e+00  1.470768e-02 -8.280110e-07  7.084373e-06  1.322391e-03 -8.280110e-07  1.371741e-07  4.752064e-06  5.092919e-02  7.084373e-06  4.752064e-06  2.461983e-04
28    1.021005e+03  1.811206e+00  1.286540e-03  5.083231e-02  1.811206e+00  1.668590e-02 -6.996330e-07  6.557382e-06  1.286540e-03 -6.996330e-07  1.376352e-07  4.906671e-06  5.083231e-02  6.557382e-06  4.906671e-06  2.633960e-04
29    1.037028e+03  1.849884e+00  1.252181e-03  5.069096e-02  1.849884e+00  1.884585e-02 -4.809716e-07  6.449447e-06  1.252181e-03 -4.809716e-07  1.380084e-07  5.056107e-06  5.069096e-02  6.449447e-06  5.056107e-06  2.808479e-04
30    1.053455e+03  1.876887e+00  1.219554e-03  5.051392e-02  1.876887e+00  2.121610e-02 -2.445424e-07  6.642765e-06  1.219554e-03 -2.445424e-07  1.382949e-07  5.200227e-06  5.051392e-02  6.642765e-06  5.200227e-06  2.985124e-04
31    1.069680e+03  1.903003e+00  1.188537e-03  5.029657e-02  1.903003e+00  2.379288e-02 -1.015626e-07  6.841147e-06  1.188537e-03 -1.015626e-07  1.385057e-07  5.339234e-06  5.029657e-02  6.841147e-06  5.339234e-06  3.163699e-04
