# L	D_L^MCN0
0.0000e+00	0.0000e+00
1.0000e+00	0.0000e+00
2.0000e+00	4.2767e-07
3.0000e+00	4.0560e-07
4.0000e+00	3.5169e-07
5.0000e+00	2.6680e-07
6.0000e+00	2.4358e-07
7.0000e+00	2.4480e-07
8.0000e+00	2.3049e-07
9.0000e+00	2.2833e-07
1.0000e+01	2.3518e-07
1.1000e+01	2.1731e-07
1.2000e+01	2.1230e-07
1.3000e+01	2.0672e-07
1.4000e+01	2.1986e-07
1.5000e+01	2.0267e-07
1.6000e+01	2.0701e-07
1.7000e+01	2.0648e-07
1.8000e+01	2.0899e-07
1.9000e+01	2.0094e-07
2.0000e+01	1.9385e-07
2.1000e+01	1.9161e-07
2.2000e+01	1.9118e-07
2.3000e+01	2.0902e-07
2.4000e+01	2.0069e-07
2.5000e+01	2.0818e-07
2.6000e+01	1.9596e-07
2.7000e+01	1.9442e-07
2.8000e+01	2.0427e-07
2.9000e+01	1.9238e-07
3.0000e+01	1.9587e-07
3.1000e+01	1.9708e-07
3.2000e+01	1.9928e-07
3.3000e+01	1.9156e-07
3.4000e+01	1.9208e-07
3.5000e+01	1.9124e-07
3.6000e+01	1.9570e-07
3.7000e+01	1.9510e-07
3.8000e+01	1.9321e-07
3.9000e+01	1.9581e-07
4.0000e+01	1.9539e-07
4.1000e+01	1.9907e-07
4.2000e+01	1.8283e-07
4.3000e+01	2.0574e-07
4.4000e+01	1.9370e-07
4.5000e+01	2.0260e-07
4.6000e+01	1.8881e-07
4.7000e+01	1.9183e-07
4.8000e+01	1.8684e-07
4.9000e+01	1.9410e-07
5.0000e+01	1.9263e-07
5.1000e+01	1.8852e-07
5.2000e+01	1.8723e-07
5.3000e+01	1.8336e-07
5.4000e+01	1.9497e-07
5.5000e+01	1.9174e-07
5.6000e+01	1.9051e-07
5.7000e+01	1.8687e-07
5.8000e+01	1.8503e-07
5.9000e+01	1.9022e-07
6.0000e+01	1.8667e-07
6.1000e+01	1.8863e-07
6.2000e+01	1.9203e-07
6.3000e+01	1.8960e-07
6.4000e+01	1.9204e-07
6.5000e+01	1.8164e-07
6.6000e+01	1.9287e-07
6.7000e+01	1.8785e-07
6.8000e+01	1.9284e-07
6.9000e+01	1.8791e-07
7.0000e+01	1.8200e-07
7.1000e+01	1.8570e-07
7.2000e+01	1.8531e-07
7.3000e+01	1.8177e-07
7.4000e+01	1.8378e-07
7.5000e+01	1.8069e-07
7.6000e+01	1.8479e-07
7.7000e+01	1.8666e-07
7.8000e+01	1.8405e-07
7.9000e+01	1.8493e-07
8.0000e+01	1.7775e-07
8.1000e+01	1.8060e-07
8.2000e+01	1.8202e-07
8.3000e+01	1.8712e-07
8.4000e+01	1.8166e-07
8.5000e+01	1.8441e-07
8.6000e+01	1.8461e-07
8.7000e+01	1.8032e-07
8.8000e+01	1.7794e-07
8.9000e+01	1.7722e-07
9.0000e+01	1.8141e-07
9.1000e+01	1.7865e-07
9.2000e+01	1.7861e-07
9.3000e+01	1.8314e-07
9.4000e+01	1.8273e-07
9.5000e+01	1.7727e-07
9.6000e+01	1.7941e-07
9.7000e+01	1.7393e-07
9.8000e+01	1.7710e-07
9.9000e+01	1.7837e-07
1.0000e+02	1.7785e-07
1.0100e+02	1.7684e-07
1.0200e+02	1.7481e-07
1.0300e+02	1.8165e-07
1.0400e+02	1.7995e-07
1.0500e+02	1.7739e-07
1.0600e+02	1.7709e-07
1.0700e+02	1.7798e-07
1.0800e+02	1.7354e-07
1.0900e+02	1.7744e-07
1.1000e+02	1.7949e-07
1.1100e+02	1.7803e-07
1.1200e+02	1.7682e-07
1.1300e+02	1.7657e-07
1.1400e+02	1.7725e-07
1.1500e+02	1.7666e-07
1.1600e+02	1.7657e-07
1.1700e+02	1.7309e-07
1.1800e+02	1.7343e-07
1.1900e+02	1.7536e-07
1.2000e+02	1.7627e-07
1.2100e+02	1.7725e-07
1.2200e+02	1.7450e-07
1.2300e+02	1.7263e-07
1.2400e+02	1.7604e-07
1.2500e+02	1.7441e-07
1.2600e+02	1.7518e-07
1.2700e+02	1.7304e-07
1.2800e+02	1.7362e-07
1.2900e+02	1.7357e-07
